segment_id,month,ndvi,ndvi_3m_delta,ndvi_6m_delta,ndvi_stddev
C-003,2023-03-01,0.397,0.003,0.007,0.022
C-003,2023-04-01,0.472,0.005,0.01,0.023
C-003,2023-05-01,0.532,0.007,0.013,0.02
C-003,2023-06-01,0.514,0.008,0.017,0.06
C-003,2023-07-01,0.567,0.01,0.02,0.052
C-003,2023-08-01,0.533,0.012,0.023,0.071
C-003,2023-09-01,0.41,0.013,0.027,0.021
C-003,2023-10-01,0.341,0.015,0.03,0.025
C-003,2023-11-01,0.288,0.017,0.033,0.026
C-003,2023-12-01,0.278,0.018,0.037,0.034
C-003,2024-01-01,0.28,0.02,0.04,0.025
C-003,2024-02-01,0.342,0.022,0.043,0.02
C-003,2024-03-01,0.372,0.023,0.047,0.066
C-003,2024-04-01,0.435,0.025,0.05,0.08
C-003,2024-05-01,0.547,0.027,0.053,0.025
C-003,2024-06-01,0.566,0.028,0.057,0.028
C-003,2024-07-01,0.562,0.03,0.06,0.027
C-003,2024-08-01,0.505,0.032,0.063,0.023
C-003,2024-09-01,0.425,0.033,0.067,0.024
C-003,2024-10-01,0.309,0.035,0.07,0.067
C-003,2024-11-01,0.33,0.037,0.073,0.048
C-003,2024-12-01,0.277,0.038,0.077,0.027
C-004,2023-01-01,0.329,0.0,0.0,0.086
C-004,2023-02-01,0.419,0.002,0.003,0.052
C-004,2023-03-01,0.515,0.003,0.007,0.033
C-004,2023-04-01,0.611,0.005,0.01,0.026
C-004,2023-05-01,0.661,0.007,0.013,0.021
C-004,2023-06-01,0.695,0.008,0.017,0.032
C-004,2023-07-01,0.622,0.01,0.02,0.063
C-004,2023-08-01,0.626,0.012,0.023,0.034
C-004,2023-09-01,0.526,0.013,0.027,0.032
C-004,2023-10-01,0.47,0.015,0.03,0.025
C-004,2023-11-01,0.349,0.017,0.033,0.083
C-004,2023-12-01,0.366,0.018,0.037,0.047
C-004,2024-01-01,0.39,0.02,0.04,0.045
C-004,2024-02-01,0.489,0.022,0.043,0.037
C-004,2024-03-01,0.538,0.023,0.047,0.03
C-004,2024-04-01,0.621,0.025,0.05,0.024
C-004,2024-05-01,0.653,0.027,0.053,0.048
C-004,2024-06-01,0.677,0.028,0.057,0.046
C-004,2024-07-01,0.676,0.03,0.06,0.029
C-004,2024-08-01,0.665,0.032,0.063,0.054
C-004,2024-09-01,0.588,0.033,0.067,0.05
C-004,2024-10-01,0.477,0.035,0.07,0.028
C-004,2024-11-01,0.491,0.037,0.073,0.079
C-004,2024-12-01,0.423,0.038,0.077,0.029
C-005,2023-01-01,0.197,0.0,0.0,0.022
C-005,2023-02-01,0.26,0.002,0.003,0.028
C-005,2023-03-01,0.347,0.003,0.007,0.039
C-005,2023-04-01,0.387,0.005,0.01,0.037
C-005,2023-05-01,0.506,0.007,0.013,0.065
C-005,2023-06-01,0.515,0.008,0.017,0.052
C-005,2023-07-01,0.444,0.01,0.02,0.04
C-005,2023-08-01,0.422,0.012,0.023,0.031
C-005,2023-09-01,0.358,0.013,0.027,0.04
C-005,2023-10-01,0.287,0.015,0.03,0.042
C-005,2023-11-01,0.16,0.017,0.033,0.071
C-005,2023-12-01,0.165,0.018,0.037,0.048
C-005,2024-01-01,0.235,0.02,0.04,0.04
C-005,2024-02-01,0.262,0.022,0.043,0.029
C-005,2024-03-01,0.353,0.023,0.047,0.025
C-005,2024-04-01,0.409,0.025,0.05,0.036
C-005,2024-05-01,0.503,0.027,0.053,0.042
C-005,2024-06-01,0.504,0.028,0.057,0.021
C-005,2024-07-01,0.449,0.03,0.06,0.056
C-005,2024-08-01,0.418,0.032,0.063,0.033
C-005,2024-09-01,0.31,0.033,0.067,0.068
C-005,2024-10-01,0.276,0.035,0.07,0.029
C-005,2024-11-01,0.217,0.037,0.073,0.035
C-005,2024-12-01,0.202,0.038,0.077,0.031
C-006,2023-01-01,0.342,0.0,0.0,0.02
C-006,2023-02-01,0.349,0.002,0.003,0.07
C-006,2023-03-01,0.469,0.003,0.007,0.027
C-006,2023-04-01,0.543,0.005,0.01,0.03
C-006,2023-05-01,0.587,0.007,0.013,0.042
C-006,2023-06-01,0.683,0.008,0.017,0.072
C-006,2023-07-01,0.66,0.01,0.02,0.067
C-006,2023-08-01,0.537,0.012,0.023,0.042
C-006,2023-09-01,0.504,0.013,0.027,0.038
C-006,2023-10-01,0.422,0.015,0.03,0.029
C-006,2023-11-01,0.369,0.017,0.033,0.029
C-006,2023-12-01,0.313,0.018,0.037,0.048
C-006,2024-01-01,0.318,0.02,0.04,0.064
C-006,2024-02-01,0.426,0.022,0.043,0.027
C-006,2024-03-01,0.508,0.023,0.047,0.032
C-006,2024-04-01,0.601,0.025,0.05,0.049
C-006,2024-05-01,0.667,0.027,0.053,0.058
C-006,2024-06-01,0.682,0.028,0.057,0.051
C-006,2024-07-01,0.613,0.03,0.06,0.039
C-006,2024-08-01,0.593,0.032,0.063,0.033
C-006,2024-09-01,0.521,0.033,0.067,0.035
C-006,2024-10-01,0.468,0.035,0.07,0.056
C-006,2024-11-01,0.436,0.037,0.073,0.076
C-006,2024-12-01,0.359,0.038,0.077,0.022
C-007,2023-01-01,0.221,0.0,0.0,0.053
C-007,2023-02-01,0.214,0.002,0.003,0.051
C-007,2023-03-01,0.296,0.003,0.007,0.046
C-007,2023-04-01,0.405,0.005,0.01,0.026
C-007,2023-05-01,0.437,0.007,0.013,0.038
C-007,2023-06-01,0.434,0.008,0.017,0.063
C-007,2023-07-01,0.437,0.01,0.02,0.041
C-007,2023-08-01,0.37,0.012,0.023,0.055
C-007,2023-09-01,0.278,0.013,0.027,0.074
C-007,2023-10-01,0.293,0.015,0.03,0.054
C-007,2023-11-01,0.268,0.017,0.033,0.083
C-007,2023-12-01,0.201,0.018,0.037,0.034
C-007,2024-01-01,0.267,0.02,0.04,0.079
C-007,2024-02-01,0.281,0.022,0.043,0.036
C-007,2024-03-01,0.318,0.023,0.047,0.044
C-007,2024-04-01,0.427,0.025,0.05,0.028
C-007,2024-05-01,0.436,0.027,0.053,0.06
C-007,2024-06-01,0.441,0.028,0.057,0.076
C-007,2024-07-01,0.494,0.03,0.06,0.035
C-007,2024-08-01,0.433,0.032,0.063,0.028
C-007,2024-09-01,0.339,0.033,0.067,0.033
C-007,2024-10-01,0.324,0.035,0.07,0.066
C-007,2024-11-01,0.178,0.037,0.073,0.068
C-007,2024-12-01,0.149,0.038,0.077,0.078
C-008,2023-01-01,0.303,0.0,0.0,0.026
C-008,2023-02-01,0.38,0.002,0.003,0.047
C-008,2023-03-01,0.352,0.003,0.007,0.097
C-008,2023-04-01,0.492,0.005,0.01,0.034
C-008,2023-05-01,0.588,0.007,0.013,0.045
C-008,2023-06-01,0.505,0.008,0.017,0.099
C-008,2023-07-01,0.627,0.01,0.02,0.081
C-008,2023-08-01,0.466,0.012,0.023,0.067
C-008,2023-09-01,0.479,0.013,0.027,0.059
C-008,2023-10-01,0.309,0.015,0.03,0.077
C-008,2023-11-01,0.328,0.017,0.033,0.035
C-008,2023-12-01,0.323,0.018,0.037,0.049
C-008,2024-01-01,0.359,0.02,0.04,0.062
C-008,2024-02-01,0.387,0.022,0.043,0.034
C-008,2024-03-01,0.494,0.023,0.047,0.064
C-008,2024-04-01,0.487,0.025,0.05,0.059
C-008,2024-05-01,0.561,0.027,0.053,0.042
C-008,2024-06-01,0.575,0.028,0.057,0.05
C-008,2024-07-01,0.589,0.03,0.06,0.022
C-008,2024-08-01,0.522,0.032,0.063,0.031
C-008,2024-09-01,0.496,0.033,0.067,0.056
C-008,2024-10-01,0.437,0.035,0.07,0.071
C-008,2024-11-01,0.292,0.037,0.073,0.061
C-008,2024-12-01,0.36,0.038,0.077,0.065
C-009,2023-01-01,0.385,0.0,0.0,0.052
C-009,2023-02-01,0.51,0.002,0.003,0.057
C-009,2023-03-01,0.541,0.003,0.007,0.029
C-009,2023-04-01,0.588,0.005,0.01,0.058
C-009,2023-05-01,0.699,0.007,0.013,0.037
C-009,2023-06-01,0.678,0.008,0.017,0.047
C-009,2023-07-01,0.664,0.01,0.02,0.042
C-009,2023-08-01,0.669,0.012,0.023,0.056
C-009,2023-09-01,0.54,0.013,0.027,0.04
C-009,2023-10-01,0.476,0.015,0.03,0.031
C-009,2023-11-01,0.431,0.017,0.033,0.022
C-009,2023-12-01,0.426,0.018,0.037,0.032
C-009,2024-01-01,0.408,0.02,0.04,0.049
C-009,2024-02-01,0.467,0.022,0.043,0.046
C-009,2024-03-01,0.579,0.023,0.047,0.03
C-009,2024-04-01,0.634,0.025,0.05,0.032
C-009,2024-05-01,0.7,0.027,0.053,0.023
C-009,2024-06-01,0.754,0.028,0.057,0.05
C-009,2024-07-01,0.709,0.03,0.06,0.023
C-009,2024-08-01,0.66,0.032,0.063,0.027
C-009,2024-09-01,0.571,0.033,0.067,0.029
C-009,2024-10-01,0.543,0.035,0.07,0.057
C-009,2024-11-01,0.482,0.037,0.073,0.049
C-009,2024-12-01,0.457,0.038,0.077,0.042
C-010,2023-01-01,0.277,0.0,0.0,0.027
C-010,2023-02-01,0.36,0.002,0.003,0.04
C-010,2023-03-01,0.445,0.003,0.007,0.049
C-010,2023-04-01,0.474,0.005,0.01,0.039
C-010,2023-05-01,0.629,0.007,0.013,0.1
C-010,2023-06-01,0.533,0.008,0.017,0.058
C-010,2023-07-01,0.594,0.01,0.02,0.061
C-010,2023-08-01,0.498,0.012,0.023,0.021
C-010,2023-09-01,0.39,0.013,0.027,0.056
C-010,2023-10-01,0.359,0.015,0.03,0.026
C-010,2023-11-01,0.362,0.017,0.033,0.083
C-010,2023-12-01,0.296,0.018,0.037,0.035
C-010,2024-01-01,0.313,0.02,0.04,0.03
C-010,2024-02-01,0.393,0.022,0.043,0.054
C-010,2024-03-01,0.479,0.023,0.047,0.063
C-010,2024-04-01,0.565,0.025,0.05,0.072
C-010,2024-05-01,0.604,0.027,0.053,0.054
C-010,2024-06-01,0.548,0.028,0.057,0.064
C-010,2024-07-01,0.56,0.03,0.06,0.033
C-010,2024-08-01,0.52,0.032,0.063,0.02
C-010,2024-09-01,0.453,0.033,0.067,0.027
C-010,2024-10-01,0.369,0.035,0.07,0.024
C-010,2024-11-01,0.336,0.037,0.073,0.037
C-010,2024-12-01,0.334,0.038,0.077,0.053
C-011,2023-01-01,0.223,0.0,0.0,0.036
C-011,2023-02-01,0.291,0.002,0.003,0.025
C-011,2023-03-01,0.373,0.003,0.007,0.02
C-011,2023-04-01,0.478,0.005,0.01,0.049
C-011,2023-05-01,0.482,0.007,0.013,0.044
C-011,2023-06-01,0.493,0.008,0.017,0.055
C-011,2023-07-01,0.526,0.01,0.02,0.037
C-011,2023-08-01,0.523,0.012,0.023,0.087
C-011,2023-09-01,0.358,0.013,0.027,0.044
C-011,2023-10-01,0.301,0.015,0.03,0.028
C-011,2023-11-01,0.255,0.017,0.033,0.021
C-011,2023-12-01,0.153,0.018,0.037,0.104
C-011,2024-01-01,0.2,0.02,0.04,0.079
C-011,2024-02-01,0.364,0.022,0.043,0.068
C-011,2024-03-01,0.386,0.023,0.047,0.027
C-011,2024-04-01,0.464,0.025,0.05,0.025
C-011,2024-05-01,0.515,0.027,0.053,0.031
C-011,2024-06-01,0.57,0.028,0.057,0.043
C-011,2024-07-01,0.565,0.03,0.06,0.056
C-011,2024-08-01,0.51,0.032,0.063,0.054
C-011,2024-09-01,0.365,0.033,0.067,0.057
C-011,2024-10-01,0.274,0.035,0.07,0.074
C-011,2024-11-01,0.303,0.037,0.073,0.047
C-011,2024-12-01,0.214,0.038,0.077,0.063
C-012,2023-01-01,0.185,0.0,0.0,0.034
C-012,2023-02-01,0.19,0.002,0.003,0.057
C-012,2023-03-01,0.333,0.003,0.007,0.048
C-012,2023-04-01,0.38,0.005,0.01,0.021
C-012,2023-05-01,0.436,0.007,0.013,0.021
C-012,2023-06-01,0.442,0.008,0.017,0.038
C-012,2023-07-01,0.45,0.01,0.02,0.029
C-012,2023-08-01,0.362,0.012,0.023,0.045
C-012,2023-09-01,0.276,0.013,0.027,0.059
C-012,2023-10-01,0.243,0.015,0.03,0.022
C-012,2023-11-01,0.206,0.017,0.033,0.038
C-012,2023-12-01,0.177,0.018,0.037,0.028
C-012,2024-01-01,0.211,0.02,0.04,0.04
C-012,2024-02-01,0.216,0.022,0.043,0.052
C-012,2024-03-01,0.308,0.023,0.047,0.036
C-012,2024-04-01,0.367,0.025,0.05,0.054
C-012,2024-05-01,0.484,0.027,0.053,0.046
C-012,2024-06-01,0.478,0.028,0.057,0.021
C-012,2024-07-01,0.427,0.03,0.06,0.054
C-012,2024-08-01,0.397,0.032,0.063,0.03
C-012,2024-09-01,0.372,0.033,0.067,0.057
C-012,2024-10-01,0.273,0.035,0.07,0.032
C-012,2024-11-01,0.207,0.037,0.073,0.02
C-012,2024-12-01,0.226,0.038,0.077,0.056
C-013,2023-01-01,0.34,0.0,0.0,0.046
C-013,2023-02-01,0.395,0.002,0.003,0.044
C-013,2023-03-01,0.424,0.003,0.007,0.044
C-013,2023-04-01,0.503,0.005,0.01,0.041
C-013,2023-05-01,0.641,0.007,0.013,0.08
C-013,2023-06-01,0.619,0.008,0.017,0.036
C-013,2023-07-01,0.529,0.01,0.02,0.074
C-013,2023-08-01,0.548,0.012,0.023,0.037
C-013,2023-09-01,0.404,0.013,0.027,0.074
C-013,2023-10-01,0.395,0.015,0.03,0.031
C-013,2023-11-01,0.299,0.017,0.033,0.052
C-013,2023-12-01,0.361,0.018,0.037,0.069
C-013,2024-01-01,0.325,0.02,0.04,0.029
C-013,2024-02-01,0.433,0.022,0.043,0.062
C-013,2024-03-01,0.474,0.023,0.047,0.026
C-013,2024-04-01,0.549,0.025,0.05,0.025
C-013,2024-05-01,0.583,0.027,0.053,0.037
C-013,2024-06-01,0.592,0.028,0.057,0.051
C-013,2024-07-01,0.606,0.03,0.06,0.022
C-013,2024-08-01,0.507,0.032,0.063,0.064
C-013,2024-09-01,0.474,0.033,0.067,0.024
C-013,2024-10-01,0.326,0.035,0.07,0.098
C-013,2024-11-01,0.33,0.037,0.073,0.04
C-013,2024-12-01,0.323,0.038,0.077,0.029
C-014,2023-01-01,0.343,0.0,0.0,0.034
C-014,2023-02-01,0.386,0.002,0.003,0.021
C-014,2023-03-01,0.449,0.003,0.007,0.033
C-014,2023-04-01,0.523,0.005,0.01,0.036
C-014,2023-05-01,0.62,0.007,0.013,0.044
C-014,2023-06-01,0.593,0.008,0.017,0.044
C-014,2023-07-01,0.575,0.01,0.02,0.043
C-014,2023-08-01,0.556,0.012,0.023,0.03
C-014,2023-09-01,0.492,0.013,0.027,0.04
C-014,2023-10-01,0.453,0.015,0.03,0.075
C-014,2023-11-01,0.338,0.017,0.033,0.027
C-014,2023-12-01,0.331,0.018,0.037,0.024
C-014,2024-01-01,0.354,0.02,0.04,0.025
C-014,2024-02-01,0.395,0.022,0.043,0.031
C-014,2024-03-01,0.471,0.023,0.047,0.031
C-014,2024-04-01,0.55,0.025,0.05,0.029
C-014,2024-05-01,0.602,0.027,0.053,0.033
C-014,2024-06-01,0.604,0.028,0.057,0.053
C-014,2024-07-01,0.542,0.03,0.06,0.096
C-014,2024-08-01,0.577,0.032,0.063,0.031
C-014,2024-09-01,0.538,0.033,0.067,0.066
C-014,2024-10-01,0.413,0.035,0.07,0.026
C-014,2024-11-01,0.408,0.037,0.073,0.063
C-014,2024-12-01,0.321,0.038,0.077,0.046
C-015,2023-01-01,0.275,0.0,0.0,0.02
C-015,2023-02-01,0.355,0.002,0.003,0.044
C-015,2023-03-01,0.416,0.003,0.007,0.028
C-015,2023-04-01,0.441,0.005,0.01,0.064
C-015,2023-05-01,0.564,0.007,0.013,0.043
C-015,2023-06-01,0.55,0.008,0.017,0.032
C-015,2023-07-01,0.592,0.01,0.02,0.068
C-015,2023-08-01,0.465,0.012,0.023,0.046
C-015,2023-09-01,0.409,0.013,0.027,0.029
C-015,2023-10-01,0.4,0.015,0.03,0.075
C-015,2023-11-01,0.288,0.017,0.033,0.024
C-015,2023-12-01,0.279,0.018,0.037,0.026
C-015,2024-01-01,0.287,0.02,0.04,0.027
C-015,2024-02-01,0.358,0.022,0.043,0.027
C-015,2024-03-01,0.488,0.023,0.047,0.08
C-015,2024-04-01,0.481,0.025,0.05,0.043
C-015,2024-05-01,0.599,0.027,0.053,0.057
C-015,2024-06-01,0.588,0.028,0.057,0.025
C-015,2024-07-01,0.599,0.03,0.06,0.055
C-015,2024-08-01,0.524,0.032,0.063,0.032
C-015,2024-09-01,0.459,0.033,0.067,0.041
C-015,2024-10-01,0.379,0.035,0.07,0.034
C-015,2024-11-01,0.257,0.037,0.073,0.075
C-015,2024-12-01,0.301,0.038,0.077,0.028
